工作中心,资源组分类,数量,日历名称
立式车铣复合加工中心i-630V/6（北京）,北京I630,3,默认日历
BJ-I630,北京I630,3,默认日历
数控立式车床KV1000（北京）,北京KV1000,8,默认日历
BJ-KV-1000ATC,北京KV1000,8,默认日历
数控立式车床KV600（北京）,北京KV600,11,默认日历
KV-600ATC,北京KV600,11,默认日历
BJ-KV-600ATC,北京KV600,11,默认日历
数控卧式车床QT400L（北京）,北京QT400,4,默认日历
BJ-QT400,北京QT400,4,默认日历
数控卧式车床QT400L,北京QT400,4,默认日历
卧式加工中心HX400iG/500-shower head（北京）,北京北村400,14,默认日历
卧式加工中心HX500iG/630-shower head（北京）,北京北村500,2,默认日历
BJ-HX400,北京北村400,14,默认日历
BJ-HX800,北京北村800,3,默认日历
卧式加工中心HX800G/1000（北京）,北京北村800,3,默认日历
三轴立式加工中心HCMC-1682(北京),北京立加,25,默认日历
BJ-HCM1682,北京立加,25,默认日历
三轴立式加工中心PRO-800-FIU（北京）,北京立加,20,默认日历
三轴立式加工中心PRO-800(北京),北京立加,20,默认日历
卧式加工中心NHC6300(北京),北京森精机,10,默认日历
卧式加工中心NHC6300（北京）,北京森精机,10,默认日历
BJ-NHC6300,北京森精机,10,默认日历
五轴加工中心DMU50C(北京),北京小五轴,10,默认日历
五轴加工中心DMU50C-FIU（北京）,北京小五轴,10,默认日历
BJ-DMU50C,北京小五轴,10,默认日历
BJ-DMU50C-FIU（北京）,北京小五轴,10,默认日历
BJ-PRO-800-FIU（北京）,北京小五轴,10,默认日历
五轴加工中心DMU-100P（北京）,北京小五轴,1,默认日历
五轴加工中心DMC-125U（北京）,北京小五轴,1,默认日历
BJ-氩弧焊接组,焊接,1,默认日历
电子束焊,焊接,1,默认日历
电子焊接组,焊接,1,默认日历
Argon arc welding,焊接,1,默认日历
Bench welding,焊接,1,默认日历
Laser welding,焊接,1,默认日历
激光焊,焊接,1,默认日历
氩弧焊,焊接,2,默认日历
BJ-电子束焊接组,焊接,1,默认日历
BJ-焊装钳工组,焊接,1,默认日历
BJ-激光焊接组,焊接,1,默认日历
BJ-扩散焊接组,焊接,1,默认日历
激光焊接组-新,焊接,1,默认日历
BJ-大气热处理组,热处理,1,默认日历
厂内热处理,热处理,1,默认日历
BJ-真空热处理组,热处理,1,默认日历
