工作中心,资源组分类,数量,日历名称
立式车铣复合加工中心i-630V/6（北京）,北京I630,1,白班
BJ-I630,北京I630,1,白班
数控立式车床KV1000（北京）,北京KV1000,1,白班
BJ-KV-1000ATC,北京KV1000,1,白班
数控立式车床KV600（北京）,北京KV600,1,白班
KV-600ATC,北京KV600,1,白班
BJ-KV-600ATC,北京KV600,1,白班
数控卧式车床QT400L（北京）,北京QT400,1,白班
BJ-QT400,北京QT400,1,白班
数控卧式车床QT400L,北京QT400,1,白班
卧式加工中心HX400iG/500-shower head（北京）,北京北村400,1,白班
卧式加工中心HX500iG/630-shower head（北京）,北京北村500,1,白班
BJ-HX400,北京北村400,1,白班
BJ-HX800,北京北村800,1,白班
卧式加工中心HX800G/1000（北京）,北京北村800,1,白班
三轴立式加工中心HCMC-1682(北京),北京立加,1,白班
BJ-HCM1682,北京立加,1,白班
三轴立式加工中心PRO-800-FIU（北京）,北京立加,1,白班
三轴立式加工中心PRO-800(北京),北京立加,1,白班
卧式加工中心NHC6300(北京),北京森精机,1,白班
卧式加工中心NHC6300（北京）,北京森精机,1,白班
BJ-NHC6300,北京森精机,1,白班
五轴加工中心DMU50C(北京),北京小五轴,1,白班
五轴加工中心DMU50C-FIU（北京）,北京小五轴,1,白班
BJ-DMU50C,北京小五轴,1,白班
BJ-DMU50C-FIU（北京）,北京小五轴,1,白班
BJ-氩弧焊接组,焊接,1,白班
电子束焊,焊接,1,白班
电子焊接组,焊接,1,白班
Argon arc welding,焊接,1,白班
Bench welding,焊接,1,白班
Laser welding,焊接,1,白班
激光焊,焊接,1,白班
氩弧焊,焊接,1,白班
BJ-电子束焊接组,焊接,1,白班
BJ-焊装钳工组,焊接,1,白班
BJ-激光焊接组,焊接,1,白班
BJ-扩散焊接组,焊接,1,白班
激光焊接组-新,焊接,1,白班
BJ-大气热处理组,热处理,1,白班
厂内热处理,热处理,1,白班
BJ-真空热处理组,热处理,1,白班
后处理-BF,,1,白班
后处理清洗-BF,,1,白班
上挂（阳极氧化）-BF,,1,白班
下挂（阳极氧化）-BF,,1,白班
内包装-BF,,1,白班
刷镀镍-BF,,1,白班
去遮蔽（刷镍）-BF,,1,白班
去遮蔽（阳极）-BF,,1,白班
外包装-BF,,1,白班
抛光-BF,,1,白班
无尘室清洗-BF,,1,白班
无尘室烘烤-BF,,1,白班
机加工车间检验（北京）,,1,白班
机加工车间简易清洗（北京）,,1,白班
机加工车间钳工（北京）,,1,白班
激光刻字-BF,,1,白班
硫酸本色阳极氧化-BF,,1,白班
表处检验-BF,,1,白班
装配-BF,,1,白班
遮蔽（刷镍前）-BF,,1,白班
遮蔽（阳极前）-BF,,1,白班
BF-内包装（瓦楞箱）,,1,白班
上挂（电解抛光）-BF,,1,白班
下挂（电解抛光）-BF,,1,白班
电解抛光SST-BF,,1,白班
简易清洗-BF,,1,白班
上挂（皮膜）-BF,,1,白班
下挂（皮膜）-BF,,1,白班
无色皮膜-BF,,1,白班
