订单,活动,物料,工序短文本,标准值1,标准值2,标准值3
100000068432,10,M0106-008430,三轴立式加工中心HCMC-1682(北京),10,10,10
100000068432,15,M0106-008430,三轴立式加工中心HCMC-1682(北京),10,10,10
100000068432,20,M0106-008430,卧式加工中心NHC6300(北京),10,10,10
100000068432,25,M0106-008430,机加工车间钳工（北京）,10,10,10
100000068432,30,M0106-008430,机加工车间简易清洗（北京）,10,10,10
100000068432,35,M0106-008430,机加工车间检验（北京）,10,10,10
100000068432,100,M0106-008430,抛光-BF,10,10,10
100000068432,105,M0106-008430,简易清洗-BF,10,10,10
100000068432,106,M0106-008430,激光刻字-BF,10,10,10
100000068432,110,M0106-008430,上挂（电解抛光）-BF,10,10,10
100000068432,115,M0106-008430,电解抛光SST-BF,10,10,10
100000068432,120,M0106-008430,下挂（电解抛光）-BF,10,10,10
100000068432,125,M0106-008430,遮蔽（阳极前）-BF,10,10,10
100000068432,130,M0106-008430,上挂（阳极氧化）-BF,10,10,10
100000068432,135,M0106-008430,硫酸本色阳极氧化-BF,10,10,10
100000068432,140,M0106-008430,下挂（阳极氧化）-BF,10,10,10
100000068432,145,M0106-008430,去遮蔽（阳极）-BF,10,10,10
100000068432,150,M0106-008430,后处理-BF,10,10,10
100000068432,155,M0106-008430,后处理清洗-BF,10,10,10
100000068432,160,M0106-008430,遮蔽（刷镍前）-BF,10,10,10
100000068432,165,M0106-008430,刷镀镍-BF,10,10,10
100000068432,170,M0106-008430,去遮蔽（刷镍）-BF,10,10,10
100000068432,175,M0106-008430,后处理-BF,10,10,10
100000068432,180,M0106-008430,后处理清洗-BF,10,10,10
100000068432,185,M0106-008430,无尘室清洗-BF,10,10,10
100000068432,190,M0106-008430,无尘室烘烤-BF,10,10,10
100000068432,195,M0106-008430,装配-BF,10,10,10
100000068432,200,M0106-008430,表处检验-BF,10,10,10
100000068432,205,M0106-008430,内包装-BF,10,10,10
100000068432,210,M0106-008430,BF-内包装（瓦楞箱）,10,10,10
100000068432,215,M0106-008430,外包装-BF,10,10,10
100000068437,5,M0106-008430,三轴立式加工中心HCMC-1682(北京),10,10,10
100000068437,10,M0106-008430,三轴立式加工中心HCMC-1682(北京),10,10,10
100000068437,15,M0106-008430,三轴立式加工中心HCMC-1682(北京),10,10,10
100000068437,20,M0106-008430,卧式加工中心NHC6300(北京),10,10,10
100000068437,25,M0106-008430,机加工车间钳工（北京）,10,10,10
100000068437,30,M0106-008430,机加工车间简易清洗（北京）,10,10,10
100000068437,35,M0106-008430,机加工车间检验（北京）,10,10,10
100000068437,100,M0106-008430,抛光-BF,10,10,10
100000068437,105,M0106-008430,简易清洗-BF,10,10,10
100000068437,106,M0106-008430,激光刻字-BF,10,10,10
100000068437,110,M0106-008430,上挂（电解抛光）-BF,10,10,10
100000068437,115,M0106-008430,电解抛光SST-BF,10,10,10
100000068437,120,M0106-008430,下挂（电解抛光）-BF,10,10,10
100000068437,125,M0106-008430,遮蔽（阳极前）-BF,10,10,10
100000068437,130,M0106-008430,上挂（阳极氧化）-BF,10,10,10
100000068437,135,M0106-008430,硫酸本色阳极氧化-BF,10,10,10
100000068437,140,M0106-008430,下挂（阳极氧化）-BF,10,10,10
100000068437,145,M0106-008430,去遮蔽（阳极）-BF,10,10,10
100000068437,150,M0106-008430,后处理-BF,10,10,10
100000068437,155,M0106-008430,后处理清洗-BF,10,10,10
100000068437,160,M0106-008430,遮蔽（刷镍前）-BF,10,10,10
100000068437,165,M0106-008430,刷镀镍-BF,10,10,10
100000068437,170,M0106-008430,去遮蔽（刷镍）-BF,10,10,10
100000068437,175,M0106-008430,后处理-BF,10,10,10
100000068437,180,M0106-008430,后处理清洗-BF,10,10,10
100000068437,185,M0106-008430,无尘室清洗-BF,10,10,10
100000068437,190,M0106-008430,无尘室烘烤-BF,10,10,10
100000068437,195,M0106-008430,装配-BF,10,10,10
100000068437,200,M0106-008430,表处检验-BF,10,10,10
100000068437,205,M0106-008430,内包装-BF,10,10,10
100000068437,210,M0106-008430,BF-内包装（瓦楞箱）,10,10,10
100000068437,215,M0106-008430,外包装-BF,10,10,10
100000069290,5,M0101-8278,卧式加工中心HX800G/1000（北京）,10,10,10
100000069290,10,M0101-8278,卧式加工中心HX800G/1000（北京）,10,10,10
100000069290,15,M0101-8278,机加工车间钳工（北京）,10,10,10
100000069290,20,M0101-8278,机加工车间简易清洗（北京）,10,10,10
100000069290,25,M0101-8278,机加工车间检验（北京）,10,10,10
100000069290,100,M0101-8278,抛光-BF,10,10,10
100000069290,110,M0101-8278,上挂（皮膜）-BF,10,10,10
100000069290,115,M0101-8278,无色皮膜-BF,10,10,10
100000069290,120,M0101-8278,下挂（皮膜）-BF,10,10,10
100000069290,125,M0101-8278,激光刻字-BF,10,10,10
100000069290,130,M0101-8278,遮蔽（阳极前）-BF,10,10,10
100000069290,135,M0101-8278,上挂（阳极氧化）-BF,10,10,10
100000069290,140,M0101-8278,硫酸本色阳极氧化-BF,10,10,10
100000069290,145,M0101-8278,下挂（阳极氧化）-BF,10,10,10
100000069290,150,M0101-8278,去遮蔽（阳极）-BF,10,10,10
100000069290,155,M0101-8278,后处理-BF,10,10,10
100000069290,160,M0101-8278,后处理清洗-BF,10,10,10
100000069290,165,M0101-8278,遮蔽（刷镍前）-BF,10,10,10
100000069290,170,M0101-8278,刷镀镍-BF,10,10,10
100000069290,175,M0101-8278,去遮蔽（刷镍）-BF,10,10,10
100000069290,180,M0101-8278,后处理-BF,10,10,10
100000069290,185,M0101-8278,后处理清洗-BF,10,10,10
100000069290,190,M0101-8278,无尘室清洗-BF,10,10,10
100000069290,195,M0101-8278,无尘室烘烤-BF,10,10,10
100000069290,200,M0101-8278,装配-BF,10,10,10
100000069290,205,M0101-8278,表处检验-BF,10,10,10
100000069290,210,M0101-8278,内包装-BF,10,10,10
100000069290,215,M0101-8278,外包装-BF,10,10,10
100000069291,5,M0101-8278,卧式加工中心HX800G/1000（北京）,10,10,10
