订单,活动,物料,工序短文本,标准值1,标准值2,标准值3
100000067932,0010,M0106-011176,Argon arc welding,0.500,0.250,0.250
100000067916,0005,M1002-000547,Bench welding,0.250,0.700,0
100000214774,5006,M0106-008374,BJ-DMU50C,0.300,0,0.700
100000224026,5007,M0106-009629,BJ-DMU50C,0.100,0.100,1
100000319415,5006,M0106-008374,BJ-DMU50C,0.300,0,0.700
100000322599,0350,M0106-005035,BJ-DMU50C,0.050,0.192,0.932
100000322599,0355,M0106-005035,BJ-DMU50C,0.383,0.342,0.614
100000322724,0350,M0106-005035,BJ-DMU50C,0.050,0.192,0.932
100000322724,0355,M0106-005035,BJ-DMU50C,0.383,0.342,0.614
100000347467,0109,M0106-009629,BJ-DMU50C,0.800,0.200,0.200
100000360323,5008,M0101-0970,BJ-DMU50C,0,0,0.500
100000360369,5010,M0101-0970,BJ-DMU50C,0,0.200,0.400
100000366843,0040,M0209-300133,BJ-DMU50C,0.500,0.200,0.200
100000366847,5004,M0106-009293,BJ-DMU50C,0.200,0.200,1
100000387868,0005,M0106-004372,BJ-DMU50C,0.133,0.175,0.113
100000387868,0010,M0106-004372,BJ-DMU50C,0.133,0.242,1.935
100000387868,0015,M0106-004372,BJ-DMU50C,0.142,0.192,0.590
100000414603,0230,M0101-5994,BJ-DMU50C,0.050,0.208,0.082
100000414603,0233,M0101-5994,BJ-DMU50C,0.050,0.175,0.123
100000422284,0425,M0106-301772,BJ-DMU50C,1.017,0,0.739
100000422284,0430,M0106-301772,BJ-DMU50C,0.600,0,0.759
100000430973,0220,M0101-6018,BJ-DMU50C,0.517,0.100,0.600
100000437973,0010,M0101-7936,BJ-DMU50C,0.450,0.150,0.615
100000450025,0020,M0106-007778,BJ-DMU50C,0,0,0.445
100000456183,0109,M0106-009629,BJ-DMU50C,0.800,0.200,0.200
100000466213,5001,M0106-005689,BJ-DMU50C,0.200,0.500,0.300
100000473937,0415,M0106-011961,BJ-DMU50C,0.050,0.350,2.655
100000473941,0415,M0106-011961,BJ-DMU50C,0.050,0.350,2.655
100000474024,0415,M0106-011961,BJ-DMU50C,0.050,0.350,2.655
100000474026,0415,M0106-011961,BJ-DMU50C,0.050,0.350,2.655
100000474028,0415,M0106-011961,BJ-DMU50C,0.050,0.350,2.655
100000487882,0415,M0106-011961,BJ-DMU50C,0.050,0.350,2.655
100000487883,0415,M0106-011961,BJ-DMU50C,0.050,0.350,2.655
100000487884,0415,M0106-011961,BJ-DMU50C,0.050,0.350,2.655
100000502105,0115,M0101-7234,BJ-DMU50C,0.417,0.208,1.093
100000502105,0120,M0101-7234,BJ-DMU50C,0.417,0.167,0.089
100000518037,0020,M0106-001078,BJ-DMU50C,0.500,0.450,0.050
100000518525,0020,M0106-001078,BJ-DMU50C,0.500,0.450,0.050
100000519174,0020,M0106-001078,BJ-DMU50C,0.500,0.450,0.050
100000519451,0020,M0106-001078,BJ-DMU50C,0.500,0.450,0.050
100000519542,0020,M0106-001078,BJ-DMU50C,0.500,0.450,0.050
100000519579,0020,M0106-001078,BJ-DMU50C,0.500,0.450,0.050
100000519806,0020,M0106-001078,BJ-DMU50C,0.500,0.450,0.050
100000520073,0020,M0106-001078,BJ-DMU50C,0.500,0.450,0.050
100000520125,0020,M0106-001078,BJ-DMU50C,0.500,0.450,0.050
100000520193,0020,M0106-001078,BJ-DMU50C,0.500,0.450,0.050
100000520193,0021,M0106-001078,BJ-DMU50C,0.500,0.200,0.030
100000521094,0020,M0106-001078,BJ-DMU50C,0.500,0.450,0.050
100000521278,0020,M0106-001078,BJ-DMU50C,0.500,0.450,0.050
100000521405,0020,M0106-001078,BJ-DMU50C,0.500,0.450,0.050
