订单,活动,物料,工序短文本,标准值1,标准值2,标准值3
100000067932,0010,M0106-011176,Argon arc welding,0.500,0.250,0.250
100000070147,0410,M0106-0147,Argon arc welding,0.630,0.480,0.020
100000070148,0410,M0106-0147,Argon arc welding,0.630,0.480,0.020
100000076846,0020,A1500-0269,Argon arc welding,0.500,1.250,1.250
100000076849,0020,A1500-0269,Argon arc welding,0.500,1.250,1.250
100000076850,0020,A1500-0269,Argon arc welding,0.500,1.250,1.250
100000076853,0020,A1500-0269,Argon arc welding,0.500,1.250,1.250
100000076855,0020,A1500-0269,Argon arc welding,0.500,1.250,1.250
100000076874,0020,A1500-0269,Argon arc welding,0.500,1.250,1.250
100000077018,0020,A1500-0269,Argon arc welding,0.500,1.250,1.250
100000077024,0020,A1500-0269,Argon arc welding,0.500,1.250,1.250
100000109079,0020,A1500-0269,Argon arc welding,0.500,1.250,1.250
100000161902,0020,A1500-0269,Argon arc welding,0.500,1.250,1.250
100000169989,0020,A1500-0269,Argon arc welding,0.500,1.250,1.250
100000215006,0020,A1500-0269,Argon arc welding,0.500,1.250,1.250
100000215008,0020,A1500-0269,Argon arc welding,0.500,1.250,1.250
100000215010,0020,A1500-0269,Argon arc welding,0.500,1.250,1.250
100000215014,0020,A1500-0269,Argon arc welding,0.500,1.250,1.250
100000254890,0020,A1500-0269,Argon arc welding,0.500,1.250,1.250
100000255281,0020,A1500-0269,Argon arc welding,0.500,1.250,1.250
100000255406,0020,A1500-0269,Argon arc welding,0.500,1.250,1.250
100000255625,0020,A1500-0269,Argon arc welding,0.500,1.250,1.250
100000256850,0020,A1500-0269,Argon arc welding,0.500,1.250,1.250
100000067916,0005,M1002-000547,Bench welding,0.250,0.700,0
100000033350,5003,M0101-7234,BJ-DMU50C,0,0.500,0
100000033750,5000,M0106-004953,BJ-DMU50C,1,0.500,0
100000033750,5003,M0106-004953,BJ-DMU50C,1,1.500,0
100000033750,5012,M0106-004953,BJ-DMU50C,0.500,1,0
100000033750,5015,M0106-004953,BJ-DMU50C,1,1.500,0
800000002344,0005,M0106-004975,BJ-DMU50C,0.309,0.142,0.210
800000002344,5019,M0106-004975,BJ-DMU50C,0.500,0,0.300
100000111910,5025,M0101-6018,BJ-DMU50C,0.200,0,2
100000196674,0030,M0106-006444,BJ-DMU50C,0.500,0.200,0.300
100000206224,0161,M0101-6018,BJ-DMU50C,0.500,0.100,0.600
100000206224,0162,M0101-6018,BJ-DMU50C,0.500,0.100,0.600
100000206224,0163,M0101-6018,BJ-DMU50C,0.500,0.100,0.600
100000214774,5006,M0106-008374,BJ-DMU50C,0.300,0,0.700
100000224026,5002,M0106-009629,BJ-DMU50C,0,0.200,0.600
100000224026,5007,M0106-009629,BJ-DMU50C,0.100,0.100,1
100000225224,0010,M0106-011969,BJ-DMU50C,0.550,0.250,0.420
100000232461,0010,M0106-011969,BJ-DMU50C,0.550,0.250,0.420
100000257199,0010,M0106-011969,BJ-DMU50C,0.550,0.250,0.420
100000259684,0010,M0106-011969,BJ-DMU50C,0.550,0.250,0.420
100000259752,0010,M0106-011969,BJ-DMU50C,0.550,0.250,0.420
100000282096,0030,M0106-006444,BJ-DMU50C,0.500,0.200,0.300
800000007238,0031,M0106-300959,BJ-DMU50C,0.242,0,0.783
800000007238,0035,M0106-300959,BJ-DMU50C,0.242,0,0.383
800000007239,0031,M0106-300959,BJ-DMU50C,0.242,0,0.783
800000007239,0035,M0106-300959,BJ-DMU50C,0.242,0,0.383
800000007240,0031,M0106-300959,BJ-DMU50C,0.242,0,0.783
800000007240,0035,M0106-300959,BJ-DMU50C,0.242,0,0.383
800000007241,0031,M0106-300959,BJ-DMU50C,0.242,0,0.783
800000007241,0035,M0106-300959,BJ-DMU50C,0.242,0,0.383
