物料,活动,可选工作中心,可选资源组分类,工序优先级,可选单位工时(小时/pcs),是否外包
P-A01,20,CNC备用车削,机加备用,工序_1,1.05,否
P-A02,20,CNC备用车削,机加备用,工序_1,1.10,否
P-A03,20,CNC备用车削,机加备用,工序_1,1.15,否
P-A04,20,CNC备用车削,机加备用,工序_1,1.00,否
P-A05,20,CNC备用车削,机加备用,工序_1,1.20,否
P-A06,20,CNC备用车削,机加备用,工序_1,0.95,否
P-A07,20,CNC备用车削,机加备用,工序_1,1.25,否
P-A08,20,CNC备用车削,机加备用,工序_1,1.05,否
P-A09,20,CNC备用车削,机加备用,工序_1,1.10,否
P-A10,20,CNC备用车削,机加备用,工序_1,1.18,否
P-A01,50,热处理备用炉,热处理备用,工序_1,0.80,否
P-A02,50,热处理备用炉,热处理备用,工序_1,0.85,否
P-A03,50,热处理备用炉,热处理备用,工序_1,0.90,否
P-A04,50,热处理备用炉,热处理备用,工序_1,0.78,否
P-A05,50,热处理备用炉,热处理备用,工序_1,0.95,否
P-A06,50,热处理备用炉,热处理备用,工序_1,0.72,否
P-A07,50,热处理备用炉,热处理备用,工序_1,1.00,否
P-A08,50,热处理备用炉,热处理备用,工序_1,0.82,否
P-A09,50,热处理备用炉,热处理备用,工序_1,0.88,否
P-A10,50,热处理备用炉,热处理备用,工序_1,0.95,否
P-A01,20,外包,外包,外包,0.00,是
P-A03,50,外包,外包,外包,0.00,是
P-A05,20,外包,外包,外包,0.00,是
P-A07,50,外包,外包,外包,0.00,是
P-A10,20,外包,外包,外包,0.00,是
