订单,活动,物料,工序短文本,标准值1,标准值2,标准值3
9000000001,10,P-A01,下料中心,0.10,0.05,0.00
9000000001,20,P-A01,CNC瓶颈车削,1.20,0.30,0.00
9000000001,30,P-A01,立加中心,0.35,0.10,0.00
9000000001,40,P-A01,钻攻中心,0.20,0.08,0.00
9000000001,50,P-A01,热处理炉,0.80,0.20,0.00
9000000001,60,P-A01,精磨中心,0.30,0.10,0.00
9000000001,70,P-A01,表处线,0.40,0.10,0.00
9000000001,80,P-A01,终检包装,0.12,0.03,0.00
9000000002,10,P-A02,下料中心,0.10,0.05,0.00
9000000002,20,P-A02,CNC瓶颈车削,1.30,0.30,0.00
9000000002,30,P-A02,立加中心,0.40,0.10,0.00
9000000002,40,P-A02,钻攻中心,0.22,0.08,0.00
9000000002,50,P-A02,热处理炉,0.90,0.20,0.00
9000000002,60,P-A02,精磨中心,0.34,0.10,0.00
9000000002,70,P-A02,表处线,0.42,0.10,0.00
9000000002,80,P-A02,终检包装,0.12,0.03,0.00
9000000003,10,P-A03,下料中心,0.12,0.05,0.00
9000000003,20,P-A03,CNC瓶颈车削,1.40,0.30,0.00
9000000003,30,P-A03,立加中心,0.42,0.10,0.00
9000000003,40,P-A03,钻攻中心,0.24,0.08,0.00
9000000003,50,P-A03,热处理炉,0.95,0.20,0.00
9000000003,60,P-A03,精磨中心,0.36,0.10,0.00
9000000003,70,P-A03,表处线,0.45,0.10,0.00
9000000003,80,P-A03,终检包装,0.12,0.03,0.00
9000000004,10,P-A04,下料中心,0.12,0.05,0.00
9000000004,20,P-A04,CNC瓶颈车削,1.15,0.30,0.00
9000000004,30,P-A04,立加中心,0.32,0.10,0.00
9000000004,40,P-A04,钻攻中心,0.18,0.08,0.00
9000000004,50,P-A04,热处理炉,0.85,0.20,0.00
9000000004,60,P-A04,精磨中心,0.28,0.10,0.00
9000000004,70,P-A04,表处线,0.38,0.10,0.00
9000000004,80,P-A04,终检包装,0.12,0.03,0.00
9000000005,10,P-A05,下料中心,0.15,0.05,0.00
9000000005,20,P-A05,CNC瓶颈车削,1.50,0.35,0.00
9000000005,30,P-A05,立加中心,0.45,0.12,0.00
9000000005,40,P-A05,钻攻中心,0.26,0.08,0.00
9000000005,50,P-A05,热处理炉,1.00,0.25,0.00
9000000005,60,P-A05,精磨中心,0.38,0.12,0.00
9000000005,70,P-A05,表处线,0.48,0.10,0.00
9000000005,80,P-A05,终检包装,0.12,0.03,0.00
9000000006,10,P-A06,下料中心,0.10,0.05,0.00
9000000006,20,P-A06,CNC瓶颈车削,1.10,0.25,0.00
9000000006,30,P-A06,立加中心,0.30,0.10,0.00
9000000006,40,P-A06,钻攻中心,0.18,0.07,0.00
9000000006,50,P-A06,热处理炉,0.75,0.20,0.00
9000000006,60,P-A06,精磨中心,0.25,0.10,0.00
9000000006,70,P-A06,表处线,0.35,0.10,0.00
9000000006,80,P-A06,终检包装,0.10,0.03,0.00
9000000007,10,P-A07,下料中心,0.15,0.05,0.00
9000000007,20,P-A07,CNC瓶颈车削,1.55,0.35,0.00
9000000007,30,P-A07,立加中心,0.48,0.12,0.00
9000000007,40,P-A07,钻攻中心,0.28,0.08,0.00
9000000007,50,P-A07,热处理炉,1.05,0.25,0.00
9000000007,60,P-A07,精磨中心,0.40,0.12,0.00
9000000007,70,P-A07,表处线,0.50,0.12,0.00
9000000007,80,P-A07,终检包装,0.12,0.03,0.00
9000000008,10,P-A08,下料中心,0.12,0.05,0.00
9000000008,20,P-A08,CNC瓶颈车削,1.25,0.30,0.00
9000000008,30,P-A08,立加中心,0.38,0.10,0.00
9000000008,40,P-A08,钻攻中心,0.22,0.08,0.00
9000000008,50,P-A08,热处理炉,0.88,0.20,0.00
9000000008,60,P-A08,精磨中心,0.32,0.10,0.00
9000000008,70,P-A08,表处线,0.42,0.10,0.00
9000000008,80,P-A08,终检包装,0.12,0.03,0.00
9000000009,10,P-A09,下料中心,0.12,0.05,0.00
9000000009,20,P-A09,CNC瓶颈车削,1.35,0.30,0.00
9000000009,30,P-A09,立加中心,0.40,0.10,0.00
9000000009,40,P-A09,钻攻中心,0.24,0.08,0.00
9000000009,50,P-A09,热处理炉,0.92,0.22,0.00
9000000009,60,P-A09,精磨中心,0.34,0.10,0.00
9000000009,70,P-A09,表处线,0.44,0.10,0.00
9000000009,80,P-A09,终检包装,0.12,0.03,0.00
9000000010,10,P-A10,下料中心,0.15,0.05,0.00
9000000010,20,P-A10,CNC瓶颈车削,1.45,0.35,0.00
9000000010,30,P-A10,立加中心,0.45,0.12,0.00
9000000010,40,P-A10,钻攻中心,0.26,0.08,0.00
9000000010,50,P-A10,热处理炉,1.00,0.25,0.00
9000000010,60,P-A10,精磨中心,0.38,0.12,0.00
9000000010,70,P-A10,表处线,0.48,0.12,0.00
9000000010,80,P-A10,终检包装,0.12,0.03,0.00
